id,title,company_type,seniority,location,skills_required,raw_description
5706197667,Data Analyst,Data & Analytics,Mid-level,"Sydney, NSW","Sql, Etl","Job Description The Data Analyst will support large-scale enterprise data transformation and migration initiatives , ensuring accurate, high‑quality data movement from legacy systems into modern data platforms. This role requires strong analytical skills, advanced SQL capability, and hands-on experience with ETL pipelines and big data technologies. The Data Analyst will support large‑scale transformation initiatives by analysing source and target data, designing and validating ETL pipelines, an…"
5650823070,Data Analyst,Data & Analytics,Mid-level,"Sydney, NSW","Sql, Stakeholder Management, Communication",About the job Data Analyst We are looking for Immediate open position for Data Analyst with below mentioned skillset: Extensively worked in PL-SQL ( 3 yrs) 6 years Overall IT experience Good working knowledge in Teradata Good stakeholder management and communication skills. Good to have Digital Analytics knowledge ( Adobe/Google) We are looking for Immediate open position for Data Analyst with below mentioned skillset: Extensively worked in PL-SQL ( 3 yrs) 6 years Overall IT experience Good wor…
5699396346,Data Analyst Intern,Data & Analytics,Graduate / Junior,"Sydney, NSW",Communication,"We’re looking for a Data Analyst Intern. Our host company offers meaningful work experience, strong supervision, supportive work environment, and is planning to offer permanent employment for the suitable candidate. ABOUT YOU: You must: be studying a relevant degree qualification or a recent graduate. have excellent communication skills, both written and spoken. have the necessary technical and soft skills to perform the job. be committed to a career in your field of study. be able to work at l…"
5683776879,Integrity Data Analyst,Data & Analytics,Mid-level,"Sydney, NSW",Communication,"Leading Australian Bank Market Leading Remuneration Hybrid working environment Integrity Data Analyst | Federal Government | APS6 Equivalent Category: Information & Communication Technology - Database Development & Administration Location: Multiple locations (ACT, NSW, QLD, VIC, SA, WA - subject to agency office locations) Work Type: Contract/Temp Pay: $67.24 - $76.36/hr  super The Opportunity Join a high-impact integrity function within a major federal government enterprise, where data and ana…"
5706527479,Senior Data Scientist,Data & Analytics,Senior,"Sydney, NSW",Machine Learning,"Senior Data Scientist About the Role This is a high-impact Data Science role focused on solving real commercial problems across pricing, customer behaviour, and marketing effectiveness. You’ll work on models that directly influence revenue, engagement, and customer experience, using a combination of machine learning, experimentation, and statistical techniques. This role is ideal for someone who enjoys getting close to the business, running experiments, and proving the value of data science thr…"
5668327112,Senior Data Scientist,Data & Analytics,Senior,"Sydney, NSW",Problem Solving,"This is a Senior Data Scientist role with Ingrity based in Sydney, NSW, AU  Ingrity  Role Seniority - senior More about the Senior Data Scientist role at Ingrity Job Title: Senior Data Scientist Location: Sydney Employment Type: Contract Overview We are seeking a Senior Data Scientist to take ownership of the reliability and management of production data science systems. This role focuses on problem solving, managing production incidents, prioritising and managing deployments, and strengthening…"
5669113903,Senior Data Scientist,Data & Analytics,Senior,"Sydney, NSW",Nlp,"Senior Data Scientist | NLP & LLM Focus | Financial Services We’re partnering with a leading financial services organisation to find a technically strong Senior Data Scientist to join their analytics function. What We’re Looking For: You’re a Data Scientist who excels at productionising models and deploying robust, scalable solutions. Your strength lies in taking NLP and LLM projects from experimentation through to production, with deep technical expertise and strong engineering fundamentals. Y…"
5705746117,AI Data Scientist,Data & Analytics,Mid-level,"Sydney, NSW",Machine Learning,"Location: Sydney (Hybrid) Type: Full-time About the Role We’re looking for an experienced AI Data Scientist to join a growing data and AI function, focused on delivering high-impact, production-ready machine learning and AI solutions. This role goes beyond pure analysis, you’ll be working on deep, complex problem-solving, building models that directly influence business outcomes, and partnering closely with stakeholders across the organisation. You’ll play a key role in shaping how AI is applie…"
5695783495,Data Engineer,Data & Analytics,Senior,"Sydney, NSW","Python, Airflow, Gcp, Cloud, Bigquery","We are seeking a results-driven Senior Data Engineer to design, build, and optimise scalable cloud data platforms and analytics pipelines, with a strong preference for GCP. The role focuses on delivering robust, production-ready solutions across a modern cloud ecosystem, enabling reliable, AI-ready data for enterprise use cases. What You’ll Do • Design and build end-to-end batch and streaming pipelines using Apache Airflow (Cloud Composer) and Python • Develop scalable data models in BigQuery u…"
5695047894,Data Engineers,Data & Analytics,Mid-level,"Sydney, NSW","Aws, Gcp","Our Financial Services client are looking for multiple highly capable Data Engineers to join the organisation, on a wider program scope of work. This role requires candidates who are strong across AWS and GCP. This is an initial 6 months Fixed-Term Contract opportunity, with a likelihood of extension. Role Title: Data Engineer Fixed Term Contract Role: 6 months Initial Contract, with a chance of extension. Annual Pay (on a per annum basis): $150,000 to $170,000  Super, depending upon experience…"
5684270722,Data Engineer,Data & Analytics,Mid-level,"Sydney, NSW","Etl, Cloud","About the Role We are seeking a highly motivated and experienced Data Engineer to join a dynamic cross-functional digital team. This role will focus on designing, building, and optimising scalable data systems and pipelines to support complex digital and analytics use cases. You will play a key role in delivering high-quality, reliable, and secure data solutions across modern cloud-based architectures. Key Responsibilities Design, build, and maintain scalable ETL/ELT pipelines to support batch …"
5696288846,Data Engineers,Data & Analytics,Mid-level,"Sydney, NSW","Aws, Gcp","Our Financial Services client are looking for multiple highly capable Data Engineers to join the organisation, on a wider program scope of work. This role requires candidates who are strong across AWS and GCP. This is an initial 6 months Fixed-Term Contract opportunity, with a likelihood of extension. Role Title: Data Engineer Fixed Term Contract Role: 6 months Initial Contract, with a chance of extension. Annual Pay (on a per annum basis): $150,000 to $170,000  Super, depending upon experience…"
5540487588,Data Engineer,Data & Analytics,Mid-level,"Sydney, NSW","Python, Sql, Power Bi, Tableau, Excel","This is a Data Engineer role with XPT Software based in Sydney, NSW, AU  XPT Software  Role Seniority - mid level More about the Data Engineer role at XPT Software Core skill: SQL, Python & Alteryx Power BI & Tableau tools Excel Background to Credit risk / Collections / Hardship business domain Others: Strong analytical skill and have experience in delivering complex data projects with a strong focus on data quality, lineage, and reconciliation between legacy and new systems Ability to facilita…"
5669092968,Data Engineer,Data & Analytics,Mid-level,"Sydney, NSW",Etl,"SummaryAs a Data Engineer at Avanade, you'll design and build scalable data pipelines and ETL/ELT solutions. You'll work closely with architects and analysts to deliver secure, high-quality data across batch and near-real-time use cases, while continuously improving performance and reliability.Key ResponsibilitiesDesign, build, and maintain scalable data pipelines and data integration solutionsDevelop and optimise ETL/ELT processes to ingest, transform, and store data from multiple sourcesWork …"
5684759563,Data Engineer,Data & Analytics,Mid-level,"Sydney, NSW",Etl,"Software / Application Development Sydney Contract Design, build and maintain ELT/ETL pipelines Large well-known Australian business 6-month initial contract with project work through FY2027 About the Role We are seeking a highly motivated and experienced Data Engineer to join a dynamic cross-functional digital team. This role will focus on designing, building, and optimising scalable data systems and pipelines to support complex digital and analytics use cases. You will play a key role in deli…"
5685863732,Business Analyst,Business & Consulting,Mid-level,"Sydney, NSW",Sql,"TheDriveGroup has partnered with a well known venue management company who are looking for a Business Analyst to join there fast paced and vibrant team. You will be working across three different projects offering requirement gathering, documentation, and SQL queries. You will be working within a small team bridging the gap between projects. To be successful you MUST HAVE: Business Analyst Writing SQL queries Strong documentation Requirement gathering Experience working across multiple projects…"
5200657382,Business Analyst,Business & Consulting,Mid-level,"Sydney, NSW",Agile,"Role: Business Analyst Location: Sydney Role Type: Contract Work as a Business Analyst/SME on pricing, billing, and fee management transformation programs for merchant services. Gather and document business requirements related to product pricing, relationship pricing, billing structures, fee waivers, discounts, and revenue recognition. Prepare business requirement documents (BRD), functional specifications, pricing models, and user stories to support agile delivery frameworks. Manage product b…"
5695271228,Business Analyst,Business & Consulting,Graduate / Junior,"Sydney, NSW",Cloud,"This is a Business Analyst role with Accenture based in Sydney, NSW, AU  Accenture  Role Seniority - junior, mid level More about the Business Analyst role at Accenture About Accenture Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Technology and Operations services and Accenture Song — all powered by the world’s l…"
5404380291,Principal Software Engineering Manager - Azure Storage,Software Engineering,Senior,"Sydney, NSW","Azure, Cloud","Overview Principal Software Engineering Manager - Azure Storage role to lead a team of engineers focused on improving service quality, chaos engineering, resiliency, and validation infrastructure within the Microsoft Azure Storage team. The role involves building scalable, low-latency cloud services for storage backends and surface resiliency concerns, and contributing to end-to-end customer experiences in a hyper-scale storage system used by Microsoft products and customers. Responsibilities L…"
5638915521,Software Engineer,Software Engineering,Mid-level,"Sydney, NSW",Azure,"The role The Software Engineer designs, develops and supports modern digital solutions with a strong focus on Microsoft 365, Power Platform, Dynamics 365 and Azure‑based services. Working as part of a cross‑functional engineering team, this role delivers full‑stack solutions, integrations and automations that enhance productivity, streamline business processes and improve user experience across the organisation. The role spans design, build, integration and ongoing improvement, applying modern …"
5652863217,Software Engineer,Software Engineering,Mid-level,"Sydney, NSW",Azure,"The role The Software Engineer designs, develops and supports modern digital solutions with a strong focus on Microsoft 365, Power Platform, Dynamics 365 and Azure‑based services. Working as part of a cross‑functional engineering team, this role delivers full‑stack solutions, integrations and automations that enhance productivity, streamline business processes and improve user experience across the organisation. The role spans design, build, integration and ongoing improvement, applying modern …"
5695327463,Software Engineer,Software Engineering,Senior,"Sydney, NSW","Aws, Cloud","This is a Software Engineer role with Amazon based in Sydney, NSW, AU  Amazon  Role Seniority - mid level, senior More about the Software Engineer role at Amazon AWS Infrastructure Services owns the design, planning, delivery, and operation of all AWS global infrastructure. In other words, we’re the people who keep the cloud running. We support all AWS data centers and all of the servers, storage, networking, power, and cooling equipment that ensure our customers have continual access to the in…"
5682766298,Software Engineer,Software Engineering,Mid-level,"Sydney, NSW",Java,"Job Description Software Engineer (Backend Focus - Java)  Hybrid – 50/50 split Up to $130KSuper We’re looking for a Java Developer to join a growing platform engineering team, working on a scalable SaaS product used across multiple customers. You will sit close to product and delivery, so you’ll be involved in more than just coding, you’ll help shape features, solve real platform challenges, and build things that actually get used. You’ll be working in a team that cares about clean code, solid …"
5412309534,Software Engineer,Software Engineering,Senior,"Sydney, NSW","Python, Ruby","About Us Our mission is simple: we want to set people free to do meaningful work. People love our softwareand it turns out that people love working here too. We’ve been recognized as a “Best Company to Work For”, and we’re proud of our team for receiving awards for workplace effectiveness and flexibility. What You'll Do Our ideal Sr. Software Engineer/Developer (with experience in PHP, Perl, Python or Ruby) will be an integral contributor to the current and next generation of our APP . You'll b…"
5261227332,Python Developer,Software Engineering,Mid-level,"Sydney, NSW","Python, Aws, Cloud, Api","Role : Python Developer with AWS (Serverless) Location : Sydney We are looking for a skilled Python developer with strong AWS experience, particularly in serverless architecture. The ideal candidate will have a solid understanding of modern cloud-based development practices and a collaborative, problem-solving mindset. Key Responsibilities: Develop and maintain serverless applications using Python and AWS. Design and implement APIs using AWS API Gateway. Collaborate with cross-functional teams …"
5684743303,Senior Python Engineer – Trading & Research Systems,Software Engineering,Senior,"Sydney, NSW",Python,"What You'll Do: - Develop and maintain high-performance Python applications for trading, research, and risk management. - Collaborate with traders, researchers, and quants to design scalable and efficient software solutions. - Build automation tools that enhance trading workflows and optimize research capabilities. - Deploy, test, and iterate rapidly to drive continuous improvements. - Balance trade-offs between latency, throughput, scalability, and maintainability. Your Responsibilities Will I…"
5162989935,Python / Network Automation Engineer,Software Engineering,Mid-level,"Sydney, NSW","Python, Golang, Docker, Ci/Cd, Api, Microservices","Job Description: Job Summary: We are looking for a skilled Python / Network Automation Engineer to design and develop Python-based microservices. The ideal candidate will possess strong expertise in Python design patterns, RESTful API development, Docker, network protocols, and CI/CD pipelines. In this role, you will be responsible for architecting scalable microservices and contributing to the automation of Telecom network operations. Primary skills – Python, API Testing, Knowledge in Golang K…"
5413793977,Data Engineer - VisionAI (AU),Software Engineering,Mid-level,"Sydney, NSW",Computer Vision,"About the role DroneShield is seeking a Data Engineer (VisionAI) to join our development team in Sydney. In this role, you will be at the forefront of advancing our computer vision capabilities - managing large-scale image and video datasets, and building the data infrastructure and MLOps pipelines that power next-generation AI systems. You’ll collaborate closely with engineers, data scientists, and product teams to ensure our datasets are reliable, scalable, and optimised for real-world defenc…"
