skill_name,aliases
3D lighting,
3D modelling,"3D rendering, 3D designing, three-dimensional modelling, 3D graphics, 3D representation"
ABAP,
AJAX,Asynchronous Javascript and XML
APL,
ASP.NET,"ASP+, Aspx, ASP.NET 3.5, ASP.NET 2.0"
ATM systems,"cash points, automated teller machines, holes in the wall, ABMs, automated teller machine systems, minibanks, cash machines, automated banking machines, automatic teller machine systems, ATM system"
Absorb (learning management systems),
Agile development,
Agile project management,
Ajax Framework,
Ansible,
Apache Maven,Maven
Apache Tomcat,
Assembly (computer programming),
Backbox (penetration testing tool),
Berber,Tamazight
Bihari,
BlackArch,
Brightspace (learning management systems),"Brightspace learning management system, Desire2Learn Brightspace, D2L Brightspace, Brightspace Learning Environment"
Bulgarian,
C#,C Sharp
C++,
CA Datacom/DB,"CA-Datacom/DB, CA Datacom, DATACOM/DB"
CAD for footwear,"footwear computer-aided design, computer-aided design for footwear, footwear 2D CAD, 3D CAD for footwear, footwear 3D CAD, 2D computer-aided design for footwear, 3D and 2D CAD for footwear, footwear CAD, 3D computer-aided design for footwear, 2D CAD for footwear"
CAD software,"CADD software, computer assisted design, software computer assisted design and drafting software"
CADD software,"CADD software specifications and operations, computer-aided design and drafting software, CADD softwares"
CAE software,"computer-aided engineering softwares, computer-aided engineering software, CAE software tools"
CAM software,"computer-aided manufacturing software, numeric control manufacturing software, computer aided manufacturing software, NC manufacturing software"
COBOL,
Cain and Abel (penetration testing tool),
Canvas (learning management systems),
Chef (tools for software configuration management),
Cisco,"Network Magic, Cisco 7600, Cisco Systems"
Codenvy,
CoffeeScript,
Common Lisp,
Croatian,
Czech,
DB2,"DB2 Connect, DB2 for Linux, UNIX and Windows, DB2 database software, IBM DB2 database software, DB2 for z/OS, DB2 on Cloud, DB2 for i, IBM DB2"
Danish,
DevOps,
Drupal,
Eclipse (integrated development environment software),Eclipse IDE
Edmodo,
English,
Engrade,
Erlang,
Estonian,
Filemaker (database management systems),"FileMaker Pro, FileMaker Go"
Finnish,
French,
GameSalad,
Gamemaker Studio,
Georgian,
German,
Greek,
Groovy,
Grovo,
Gujarati,
Hadoop,
Haskell,
Havok Vision,
HeroEngine,
Hindi,
Hungarian,
Hybrid model,
IBM InfoSphere Information Server,
IBM WebSphere,
ICT debugging tools,
ICT market,
ICT network cable limitations,"ICT network line limitations, ICT network wire limitations"
ICT network routing,
ICT network security risks,
ICT network simulation,
ICT networking hardware,ICT networking hardware
ICT project management,
ICT project management methodologies,"structured methodology, prince2, software development methodologies, scrum, agile"
ICT security legislation,"legal aspects of computing, cyber-security regulation, network and information security legislation, ICT law"
ICT software specifications,"ICT programme specifications, ICT application specifications, ICT software specifying, ICT system specifications, specify use of ICT software, ICT software specification"
ICT system integration,system integration
ICT system programming,"scripting, network programming, application programming, server side programming"
Icelandic,
Internet of Things,"Pervasive systems, Ubiquitous computing, smart devices, Information appliances, IoT"
Italian,
JSSS,JavaScript Style Sheets
Java (computer programming),"Javax, Java Posse"
JavaScript,"JavaScript 1.7, JavaScript 1.6, Escript, CSJS, Live Script, Server-side JavaScript, Mocha, Live script, Client-side JavaScript, JavaScripts"
JavaScript Framework,
Javanese,"cara jawa, basa jawa"
Jboss,
Jenkins (tools for software configuration management),"Jenkins CI, Jenkins Continuous Integration server"
Joomla,
KDevelop,"KDevelop 4.0.0, KDevelop 5.0.0, KDevelop 4.6.0, KDevelop 4.7.0"
Kali Linux,
Kazakh,
Kurdish,
LAMS,Learning Activity Management System
LDAP,"Lightweight Directory Access Protocol, LDAP 2, LDAP 3"
LINQ,Language Integrated Query
Latvian,
Lean project management,
Lisp,
Lithuanian,
Litmos,
MATLAB,
MDX,MultiDimensional eXpressions
ML (computer programming),
Maltese,
Marathi,
MarkLogic,
Microsoft Access,"MS Access, Access, Microsoft Office Access"
Microsoft Visio,"Visio 2010, Office Visio 2003, MS Visio, Visio 2016, Microsoft Office Visio, Visio 2002, Visio 2013, Office Visio 2007, Visio 2000"
Microsoft Visual C++,"MS Visual C++, VC++, Visual C++, MSVC"
